name,id,tags,rarity,icon,desc,sortOrder,spawnWeight,motion,motionSpeed,restlessness,jitter,difficulty,progressRateMult,escapeRateMult,weightMax,weightMin,lengthMax,lengthMin,baseValue,starColours,constellationAges,minAberration,maxAberration,reachedBy,systemTags,regions,spriteDirection
Stinkfish,quacken_stinkfish,fish,COMMON,graphics/catchrelease/fish/quacken_stinkfish.png,"The smell arrives first and outlasts the specimen by days. No compound has been isolated, which has not helped morale.",,16,TWITCHER,0.9,0.85,1.0,45,1.05,0.95,8.0,0.8,0.8,0.3,60,"RED, BROWN",,,,,,"CORE_SW, RIM_SW",180
Blue Sea Tuna,quacken_tuna,fish,COMMON,graphics/catchrelease/fish/quacken_tuna.png,"Big, blue, and built to cross an ocean in a place that has never held one. It makes the crossing anyway, at speed, in whatever direction it happened to be pointed.",,12,DARTER,1.05,1.1,1.4,60,1.0,1.05,45.0,6.0,2.0,0.8,60,"WHITE, YELLOW",,,,,,"CORE_NE, RIM_NE",180
The Quorum,quorum,"fish, special",LEGENDARY,graphics/catchrelease/fish/anchovy.png,"A school of some ten thousand silver bodies that arrives, turns and takes the hook as one animal, and is logged as one because it insists. However it is divided on deck, the tally comes to one.",,1,MIXED,1.7,1.9,1.4,195,0.6,2.7,700.0,200.0,8.0,3.0,9000,,,0.5,,BREACH_LAMP,,"CORE_SE, RIM_SE",90
Quorum Splinter,quorum_shard,"fish, special",RARE,graphics/catchrelease/fish/anchovy.png,"A dozen silver bodies holding formation around nothing, cut out of a wall that did not close behind them. They keep the formation in the hold, and the tally counts them as one.",,0,DARTER,1.4,1.5,0.8,115,0.9,1.25,6.0,2.0,0.9,0.4,700,,,,,,,,90
Rainbow Carp,rainbow_carp,fish,COMMON,graphics/catchrelease/fish/rainbow_carp.png,"Ornamental, patterned in colours ship's screens cannot quite render. Worth more to a collector than to a galley.",,12,SMOOTH,1.05,1.1,1.0,60,1.0,1.05,1.2,0.1,0.35,0.12,60,,,0.2,,,,"RIM_NE, RIM_SE",180
Blind Crawler,red_drum,fish,UNCOMMON,graphics/catchrelease/fish/red_drum.png,"Eyeless, feeling its way along the bottom of a place with no bottom, and sounding a low note it needs water to make. It makes the note regardless, and keeps making it on the deck.",,8,SINKER,1.4,1.3,1.0,85,0.95,1.15,8.0,0.8,0.8,0.3,220,,,,,POND,,"CORE_SE, CORE_SW",180
Red Snapper,red_snapper,fish,UNCOMMON,graphics/catchrelease/fish/red_snapper.png,"Deep red, sharp-toothed and a genuine fight. One of the few catches worth logging for its own sake.",,8,LUNGER,1.4,1.3,1.0,85,0.95,1.15,45.0,6.0,2.0,0.8,220,RED,,,,,,"CORE_SE, RIM_SE",180
Coach,roach,fish,COMMON,graphics/catchrelease/fish/roach.png,"Small, silver, and absolutely everywhere. Named by a rating who found it funnier than it is, and the name went into the manifest before anyone could object.",,16,TWITCHER,0.9,0.85,1.0,45,1.05,0.95,0.15,0.01,0.12,0.03,60,,,,,,,"CORE_SW, RIM_SW",180
Sulfur Diver,rock_bass,fish,COMMON,graphics/catchrelease/fish/rock_bass.png,"Mottled yellow, reeking of sulphur, and inclined to hold position rather than run. It outlasts pursuit rather than outpacing it, which works more often than it should.",,12,SMOOTH,1.05,1.1,1.0,60,1.0,1.05,8.0,0.8,0.8,0.3,60,"ORANGE, RED",,,,,,"RIM_NE, RIM_NW",180
Storm Salmon,salmon,fish,UNCOMMON,graphics/catchrelease/fish/salmon.png,"Runs against a current that is not there, hard and in one direction, trailing charge the whole way. Nobody has established what it is running towards.",,8,DARTER,1.4,1.3,1.5,85,0.95,1.15,45.0,6.0,2.0,0.8,220,,,0.3,,,,"CORE_NW, RIM_NW, RIM_SW",180
Sensor Ghost,sensor_ghost,fish,RARE,graphics/catchrelease/fish/skate.png,"On the plot for hours before it is in the water: bearing steady, return clean, classification confident. The instruments log the catch a few seconds before the line moves.",,5,MIXED,1.4,1.5,0.4,115,0.9,1.25,18.0,4.0,1.6,0.7,700,,,,0.6,,,"CORE_NW, RIM_NW",90
Shad,shad,fish,COMMON,graphics/catchrelease/fish/shad.png,"Thin silver schooling stock with no school to join. It arrives alone, and conducts itself throughout as though it were among thousands.",,16,WEAVER,0.9,0.85,1.0,45,1.05,0.95,0.15,0.01,0.12,0.03,60,,,,,,,"RIM_NE, RIM_SE",180
Silverback,silverback_carp,fish,COMMON,graphics/catchrelease/fish/silverback_carp.png,"Heavy through the shoulder and silver along the spine, throwing itself clear of a surface that does not exist. A hazard to the drones and occasionally to the crew.",,12,SMOOTH,1.05,1.1,1.5,60,1.0,1.05,45.0,6.0,2.0,0.8,60,,AVERAGE,,,,,"CORE_NW, RIM_NW",180
Skate,skate,fish,COMMON,graphics/catchrelease/fish/skate.png,"Flat, winged, and gliding on nothing at all. It passes over the drones rather than through them, a distinction the machinery is not equipped to appreciate.",,12,FLOATER,1.05,1.1,0.6,60,1.0,1.05,45.0,6.0,2.0,0.8,60,,,,,BREACH_LAMP,,"CORE_NE, CORE_SE",180
Skelleton,skelleton,other,RARE,graphics/catchrelease/fish/skelleton.png,Reality took the skeleton and declined the rest. Misspelled on the first survey sheet and every sheet since.,,5,LUNGER,1.4,1.5,1.4,115,0.9,1.25,1.2,0.1,0.35,0.12,700,,,0.4,,BREACH_LAMP,,"CORE_NW, CORE_SW, RIM_SW",180
Slipstream Moray,slipstream_moray,"fish, special",LEGENDARY,graphics/catchrelease/fish/eel_catfish.png,"An eel long enough to file as a hazard to navigation, taken only where the fabric has nearly gone. Charted slipstreams in the area bend a few degrees toward wherever it is working, and the charts update to agree.",,1,MIXED,1.7,1.9,0.4,195,0.6,2.7,300.0,40.0,9.0,4.0,9000,,,0.5,,BREACH_LAMP,,"CORE_NW, RIM_NW",90
Spined Loach,spined_loach,fish,COMMON,graphics/catchrelease/fish/spined_loach.png,"Small, whiskered, and armed under the eye with a spine that catches on everything. More trouble than it is worth, and the trade prices it accordingly.",,16,SINKER,0.9,0.85,1.0,45,1.05,0.95,0.15,0.01,0.12,0.03,60,"RED, BROWN",,,,,,"CORE_NW, CORE_SW",180
Mind Flayer,squid_blue,mollusc,EPIC,graphics/catchrelease/fish/squid_blue.png,"Nothing anyone has put in front of one has ever been eaten. Ratings quartered near one lose hours first, then names, then the ability to read. The specimen gains mass.",,3,LUNGER,1.5,1.6,0.45,140,0.85,1.4,45.0,6.0,2.0,0.8,2400,BLUE,,0.3,,,,,90
Crystal Aberration,squid_cyan,mollusc,RARE,graphics/catchrelease/fish/squid_cyan.png,"Faceted and rigid, lit from within in a colour that does not appear on the manifest. Whatever it is aberrating from, the record is clear that it is not going back.",,5,LUNGER,1.4,1.5,0.45,115,0.9,1.25,45.0,6.0,2.0,0.8,700,,,0.25,,,,"RIM_SE, RIM_SW",90
Giant Squid,squid_red,mollusc,UNCOMMON,graphics/catchrelease/fish/squid_red.png,"Deep red, long-armed and inking freely, which is a problem when the ink does not stay where it lands. Bring a bucket, and something to put under the bucket.",,8,LUNGER,1.4,1.3,0.45,85,0.95,1.15,45.0,6.0,2.0,0.8,220,,,0.25,,,,"CORE_NE, RIM_NE",90
Banana Star,starfish_banana,other,COMMON,graphics/catchrelease/fish/starfish_banana.png,"Five arms, yellow, curved, and jointed where arms are not jointed. Named by a rating who has since been quietly reassigned. Extremely venomous. Tastes like banana.",,12,SINKER,1.05,1.1,0.5,60,1.0,1.05,1.2,0.1,0.35,0.12,60,,,,,POND,,CORE_SW,90
Crusty Star,starfish_blue,other,COMMON,graphics/catchrelease/fish/starfish_blue.png,"Blue, rough as old plating and entirely indifferent to being caught. Carries on doing whatever it was doing the whole way up.",,16,SINKER,0.9,0.85,0.3,45,1.05,0.95,1.2,0.1,0.35,0.12,60,,,,,POND,,RIM_NW,90
Crystal Star,starfish_crystal,other,RARE,graphics/catchrelease/fish/starfish_crystal.png,"Rigid, faceted, and ringing faintly whenever it is set down on anything hard. It appears in safety briefings, under the handling section, as the example.",,5,SINKER,1.4,1.5,0.35,115,0.9,1.25,1.2,0.1,0.35,0.12,700,"NEUTRON, BLACK_HOLE",,,,,,,90
Leafy Star,starfish_green,other,UNCOMMON,graphics/catchrelease/fish/starfish_green.png,"Soft-armed, and regenerating anything taken off it faster than the available material accounts for. What the replacement is made of is a question nobody is funding.",,8,MIXED,1.4,1.3,0.5,85,0.95,1.15,1.2,0.1,0.35,0.12,220,,,0.3,,POND,,"CORE_NW, CORE_SW, RIM_NW",90
Scraggly Star,starfish_scraggly,other,COMMON,graphics/catchrelease/fish/starfish_scraggly.png,"Thin-armed, uneven, and short one point - and never the same point twice. Reality appears to have made an accounting error here, and elected to let it stand.",,16,SINKER,0.9,0.85,0.5,45,1.05,0.95,0.15,0.01,0.12,0.03,60,,,,,POND,,"CORE_SE, RIM_SE",90
Ice Tuna,tuna_2,fish,UNCOMMON,graphics/catchrelease/fish/tuna_2.png,"Heavy, cold through, frosted along the flank, and the best eating in the catalogue by a comfortable distance. Worth every bit of the gear it costs to bring one in.",,8,WEAVER,1.4,1.3,1.0,85,0.95,1.15,45.0,6.0,2.0,0.8,220,"BROWN, RED",,,,,,"RIM_NW, RIM_SW",180
Vulcan Cannonfish,vulcan_2,fish,RARE,graphics/catchrelease/fish/vulcan_2.png,"Blunt-nosed and barrel-bodied, built to the proportions of ordnance rather than of anything that ever swam. It assumed the shape nearest to hand, and found an autocannon.",,5,MIXED,1.4,1.5,1.3,115,0.9,1.25,45.0,6.0,2.0,0.8,700,,,,,,"theme_ruins, theme_derelict","CORE_NE, CORE_SE, RIM_NE, RIM_SE",180
Weathervane,weathervane,fish,RARE,graphics/catchrelease/fish/hatchetfish.png,"Narrow, rigid, and pointed the same way regardless of current, tank or handling. Charted against survey data the heading resolves to the nearest rupture. Nobody consults it.",,5,SMOOTH,1.4,1.5,0.15,115,0.9,1.25,12.0,3.0,1.4,0.6,700,,,,0.4,,,"CORE_SE, CORE_SW",90
Amberjack,yellowtail_amberjack,fish,COMMON,graphics/catchrelease/fish/yellowtail_amberjack.png,"Fast, yellow along the tail and a long fight for its size. Sought by crews who have grown tired of bass.",,12,DARTER,1.05,1.1,1.0,60,1.0,1.05,45.0,6.0,2.0,0.8,60,YELLOW,,,,,,"CORE_SE, CORE_SW",180
